workerid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	c1	c2	c3	c4	c5
A34JG5YYW98V22	1.5	-2.0	2.0	-2.0	2.0	-2.0			2.0	-0.5						-2.0																																																						0	0	2	0	2
A37LY5UTJV2KYZ	-0.8571428571430001	-0.33333333333299997	-1.0	-0.428571428571		-2.0				-1.0				-1.5		1.0	-0.666666666667			-2.0		-0.33333333333299997		-1.0	-1.0	0.33333333333299997		1.0				-2.0			-1.0		-1.0	-2.0				1.0	1.0			1.0						-2.0					-1.5			-1.0										0	0	2	0	2
A2VJZZPAHHKAOW	1.0	-1.0				-1.0																																																																0	0	2	0	2
A11W0929K3TOW3	-2.0	-1.0			2.0		2.0		2.0																																																													0	0	2	0	2
A3SWVCOJPJM7KQ		-1.0		-1.0																																																																		0	0	2	0	2
AWEPZMK7825JQ	1.0																																																																					0	0	2	0	2
APROFW08F7Z34	-1.8139534883700001	-1.94444444444	-1.33333333333	-2.0	2.0	-1.9090909090900001	1.0		1.0	-1.57142857143									-2.0																																											-1.0								0	0	2	0	2
AK30IDAH8Z6Q5	1.0																																																																					0	0	2	0	2
A3QS0S6B9P169W	-2.0	-2.0			-2.0				0.0																																																													0	0	2	0	2
A3VBS09FLWEOAD				1.0																																																																		0	0	2	0	2
A22OZI9XS3B2FZ		-1.0								-2.0																																																												0	0	2	0	2
A2CCK1JKX48R0H		-2.0		-2.0							-1.0							-1.6666666666699999	-0.666666666667				-2.0							-2.0			-2.0						2.0					0.0			-0.5																		2.0	-1.0				0	0	2	0	2
A2URQW1CG9L9XG	1.0																																																																					0	0	2	0	2
A3F3YFH9NZYULT	2.0																																																																					0	0	2	0	2
A3GM65DMOMZ0WY		-1.0	1.0	-1.0																																																																		0	0	2	0	2
A3FP4YWBOZKPKZ	-1.0	-1.75		-2.0		1.0																																																																0	0	2	0	2
A21753FQKCM5DQ	-0.350877192982	-0.555555555556	0.511111111111	-0.6	0.533333333333	-0.5	0.04	0.8181818181820001	0.8181818181820001	0.33333333333299997	0.6	0.8571428571430001	-0.45454545454499995	-1.0	0.2	-0.6	-1.0			-1.0	0.0	0.6	-2.0	1.0				0.0	-1.0		-2.0																											1.0	2.0					1.0						0	0	2	0	2
AMZYIIE52MXZN														-1.0				-1.0	-1.0	2.0			-2.0		2.0	-1.0	2.0			-2.0			-2.0	-2.0	-1.0									-2.0	2.0							-1.0																		0	0	2	0	2
A1GD3MQELM1R9M										1.0																																																												0	0	2	0	2
AIQ8LGMMG42E4	-1.0	-1.0														-2.0																																																						0	0	2	0	2
A15OBQS0LO4EI1														-2.0			-2.0			-1.0							2.0																							-2.0																		2.0		0	0	2	0	2
A2G8UI423QZYJJ					1.0																																																																	0	0	2	0	2
A3T021IZ1409ZH																				-2.0																						1.0	-2.0			-1.0							-2.0	-1.0																0	0	2	0	2
AC7VPTC0JQLWL		1.0		1.0		1.0				1.0				1.0		1.0	1.0			1.0		1.0	1.0	1.0				1.0	1.0		1.0																											1.0	1.0					1.0						0	0	2	0	2
A1G8EU5EICWIYN		-2.0			-2.0	-2.0	2.0		1.0	-2.0																																																												0	0	2	0	2
AT116456PANMW											2.0			-0.5				-1.0	0.0	-1.0			-1.0		1.0			1.0		0.0			-2.0			1.0	-1.0		1.0				-1.0				-2.0			-1.0	-1.0					-1.0														0	0	2	0	2
A13JINJ9A5MIKR	1.0																																																																					0	0	2	0	2
A3UWM3KJYEL5XU	1.0	0.0		1.0	1.0	-1.5			-1.0	-1.0																																																												0	0	2	0	2
A3NQBMDJO1T64F	-1.0			-1.0		-1.0	2.0																																																															0	0	2	0	2
A1O856QN2PL7VC					1.0																																																																	0	0	2	0	2
A3G3G7SCD88G1J	-1.0				2.0																																																																	0	0	2	0	2
A73ITJ4GZGQBI	-0.545454545455	0.0	1.33333333333	0.666666666667	2.0	1.0	2.0	-0.3	2.0	1.5	1.33333333333	-0.5	1.8	-1.0		2.0		2.0			2.0	-1.0							2.0		-2.0																														1.0						-1.0			0	0	2	0	2
A1S3PCOMZQ5QQQ	-1.0																																																																					0	0	2	0	2
A2DUJEW76T1J8Y									2.0																																																													0	0	2	0	2
A1DX8T0U3UTD0R		2.0					2.0																																																															0	0	2	0	2
A1G05E56YKEM10				-1.0																				1.0																																		1.0												0	0	2	0	2
A3F6SDO4GYBE4Y	-1.33333333333			1.0	-1.0	-0.33333333333299997			-1.0																																																													0	0	2	0	2
A20VG7NZ13S29U	1.0	-0.666666666667								1.0						-2.0																																																						0	0	2	0	2
A2KCG73A6QCNCW		-0.33333333333299997		0.1						1.0						1.0	0.0					1.5									-2.0																											1.0												0	0	2	0	2
ACXR9CVS59T23		-1.5		-1.42857142857		1.0				-2.0				-2.0		-1.0	-1.0			-2.0		1.0	-2.0					-1.0			-1.0																											1.0						1.0						0	0	2	0	2
A2EKR8RZJ75SR9	-1.0	2.0				1.0																																																																0	0	2	0	2
A13F9U9W6VCJLG	-1.0	1.0																																																																				0	0	2	0	2
A2RZNT7MFPG3MQ										1.0																																																												0	0	2	0	2
A1HE4A2XG9F9BF					1.0																																																																	0	0	2	0	2
A368N9ZE014STJ	1.0	1.0			2.0		1.0																																																															0	0	2	0	2
A3V2XCDF45VN9X	-1.33333333333	-2.0			2.0	-2.0	1.6666666666699999		2.0																																																													0	0	2	0	2
AMJAP6BGF5LVM	-1.0625	-1.3793103448299997	-0.666666666667	-0.33333333333299997	1.0	-1.57142857143				-0.833333333333																																																				-2.0							-2.0	0	0	2	0	2
A4ITJB4ISUQ9N						1.0																																																																0	0	2	0	2
A3FKV60NWC2EQ0	0.375	0.25	2.0	1.25	2.0	-1.0				0.0						-1.0																																																						0	0	2	0	2
A18TXM6GMU1411	-0.733333333333	-1.04166666667	0.0	-0.625		-1.33333333333	2.0			-0.5						-1.5	-1.5					2.0		-1.0				-2.0			2.0																															-2.0								0	0	2	0	2
A2T5TKB5P9UQSF		-1.0																																																																				0	0	2	0	2
A3RYH6OUH7BJ4Z	0.0	-1.8125	1.0	-2.0		-1.0				1.0																																																												0	0	2	0	2
A359L0HU2ATH6I	1.0	1.33333333333		2.0						-1.0																																																												0	0	2	0	2
A2FY1GL04ZI859	-1.5	-1.0			2.0	-1.0										-1.0																																																						0	0	2	0	2
A2VWG0L5JHOBWN	0.470588235294	1.0	0.95	0.0	0.33333333333299997		0.888888888889	0.0555555555556	1.33333333333		1.0	-0.666666666667	1.33333333333		0.0	-1.0	1.0				0.33333333333299997	1.0																																																0	0	2	0	2
A3JJXEVEPU8V9J	1.0	-1.0	1.0	-1.0	0.33333333333299997	-1.0	-0.5			-1.0						-1.0			1.0																																											-2.0	-1.0						-1.0	0	0	2	0	2
A3DM17YA8DE8R5	1.0																																																																					0	0	2	0	2
A38JGCZ8N68TGD		1.0	1.0																																																																			0	0	2	0	2
A2Y0SIZH81B265	1.0	-1.0		1.0																																																																		0	0	2	0	2
A1B9Y0HDINSM1H		-1.0		-1.0		-1.0																																																																0	0	2	0	2
A2IW3WDQCUOMWU														-1.0			-1.0		1.0	1.0				-1.0		0.0	0.0	1.0				-1.0			-1.0	-1.0	0.0	1.0		0.0			0.0		0.0	1.0		-1.0	-1.0		-2.0	-1.0	-2.0	-1.0	-2.0		-2.0			-1.0								1.0		0	0	2	0	2
AAOTQL1SCAC03	2.0	1.0	1.0							2.0																																																												0	0	2	0	2
A194E79BDFEZIU	-1.0	1.0					1.0																																																															0	0	2	0	2
A3QKXMXDEWMHGN		1.0			1.0				2.0																																																													0	0	2	0	2
A2LJAWY0LUIMN1	0.341463414634	0.08	0.166666666667	0.125	0.0	-0.272727272727	2.0			-0.4						1.0								-1.0				-1.0																																			-2.0							0	0	2	0	2
A36F8IGSCR2N5N	1.0	1.2	1.0	1.0		1.0				1.0																																																												0	0	2	0	2
AC5LU9TF9CTK9	0.0	-1.4		-1.5	0.0			-0.33333333333299997		-2.0					-2.0	-2.0						-1.0																																																0	0	2	0	2
AC25X12LNYY6Y		-1.0		-2.0						-2.0																																																												0	0	2	0	2
A2KPT0PEUEXCC4											1.33333333333			-2.0				1.0					-1.75							-0.5				-1.0	-2.0				1.0					-2.0			-2.0																			2.0				0	0	2	0	2
A2IYAOQ0BY5EYD	0.107142857143	-0.986486486486	-1.6	-1.0	-1.33333333333	-1.78571428571	0.0			-2.0						1.0			-2.0																																											-1.0								0	0	2	0	2
A2WG4UUY0J0YJQ		1.0																																																																				0	0	2	0	2
A1A2PYJ7XUSTM0							2.0			1.0																																																												0	0	2	0	2
AA8NS0HGQX7K7		-1.0																																																																				0	0	2	0	2
A37QW51L039KKQ	-2.0	-2.0				-2.0	0.0			-2.0																																																					-2.0							0	0	2	0	2
A3VIRYIGUMADFS	1.0		1.0			-2.0																																																																0	0	2	0	2
AO4ZHD0B9KUNE	-1.0	-1.5				-1.0																																																																0	0	2	0	2
