workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
AQ36OBO2GRA00	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	0.0	0.333333333333	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	-0.589743589744	0.0398606811146
A3I3QFIVJZ631	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	-1.0	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.666666666667	-0.589743589744	0.0398606811146
AK46ZNEC6R89C	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	0.2	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	-0.589743589744	0.0398606811146
A9QYAH5BONH1W	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	-0.641379310345	-0.723076923077	-0.88679245283	0.51724137931	-1.0	-0.8	-0.935483870968	-0.818181818182	-0.047619047619	-0.578947368421	-1.0	-1.20770877944	-0.589743589744	0.0398606811146
A2WGW5Y3ZFBDEC	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	-0.615384615385	-0.176470588235	-1.0	1.0	-1.0	-0.666666666667	0.555555555556	0.0	1.0	0.75	0.333333333333	-0.224719101124	-0.589743589744	0.0398606811146
A240ZZK5NVX3Z5	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	-0.333333333333	0.333333333333	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.589743589744	0.0398606811146
A1G8EU5EICWIYN	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	-1.0	-1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.125	-0.589743589744	0.0398606811146
A2H5FQFR4C014A	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	-0.589743589744	0.0398606811146
A1LLZHLIIXJHU2	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	-0.333333333333	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	-0.589743589744	0.0398606811146
A3E0T5IURPJVHC	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.589743589744	0.0398606811146
A2O4BMT4182ER5	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	-0.589743589744	0.0398606811146
A3UWM3KJYEL5XU	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	0.428571428571	-0.5	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	-0.0833333333333	-0.589743589744	0.0398606811146
A2ZRYNS8R5JSY6	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.589743589744	0.0398606811146
