,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,1,2,3,4,5
64,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1U43ACI9M84MZ,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-1,464.0,464.0,464.0,464.0,464.0
65,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2S96ZZ70YFPSK,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,528.0,528.0,528.0,528.0,528.0
66,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1PVTLZ5V590EP,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-1,455.0,455.0,455.0,455.0,455.0
67,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,1,263.0,263.0,263.0,263.0,263.0
68,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AN1H7SQKQSWS3,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,1,289.0,289.0,289.0,289.0,289.0
69,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AKXNUZGMYOW6Q,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-2,607.0,607.0,607.0,607.0,607.0
70,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AVII5WIKWUWTK,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,548.0,548.0,548.0,548.0,548.0
71,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A18TXM6GMU1411,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-1,199.0,199.0,199.0,199.0,199.0
72,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A9QYAH5BONH1W,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,1,558.0,558.0,558.0,558.0,558.0
73,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1CGUFW3R6M234,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,400.0,400.0,400.0,400.0,400.0
74,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1U3KTAUMV7QKT,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,-1,546.0,546.0,546.0,546.0,546.0
75,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,APROFW08F7Z34,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,-2,156.0,156.0,156.0,156.0,156.0
76,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,2,297.0,297.0,297.0,297.0,297.0
77,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2OCP3UDPBH0ME,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,281.0,281.0,281.0,281.0,281.0
78,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1MLC8HETIE13W,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,-2,634.0,634.0,634.0,634.0,634.0
79,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A4SKTCPDTV550,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,19.0,19.0,19.0,19.0,19.0
80,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2YTOX7SEDJ1TC,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,497.0,497.0,497.0,497.0,497.0
81,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2I2YRPU8ZFDFK,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,2,531.0,531.0,531.0,531.0,531.0
82,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3AXXVQ7GY5JO3,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,593.0,593.0,593.0,593.0,593.0
83,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A29JDEHW192FQY,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,410.0,410.0,410.0,410.0,410.0
84,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1RUUT6L07VW6P,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,-1,493.0,493.0,493.0,493.0,493.0
85,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2LJAWY0LUIMN1,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,214.0,214.0,214.0,214.0,214.0
86,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,1,263.0,263.0,263.0,263.0,263.0
87,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2IYAOQ0BY5EYD,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,2,219.0,219.0,219.0,219.0,219.0
88,2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3C7SA7ADVLG3W,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,INTERNAL,2,368.0,368.0,368.0,368.0,368.0
